鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數_int
信義區,房地(土地+建物)+車位,松信路50巷1~30號,63.6,都市：其他:第三種住宅區。,,,1100220,土地1建物1車位4,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021115,444.02,3,2,4,有,有,88300000,292945,坡道平面,163.08,6000000,含裝潢費5000000元;,RPPNMLMJLHGGFDA86EA,176.08,5.72,17.07,有,,14
松山區,房地(土地+建物),八德路二段331~360號,2.6,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100122,土地2建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980123,29.59,1,1,1,有,有,9980000,337276,,0.0,0,,RPPSMLOJLHGGFDA57EA,15.25,1.09,3.5,有,,14
松山區,房地(土地+建物),八德路四段631~660號,4.71,都市：其他:第三種商業區。,,,1100204,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021216,47.72,1,1,1,有,有,12000000,251467,,0.0,0,,RPPNMLKKLHGGFDA76EA,27.81,2.74,0.0,有,27.0,13
松山區,房地(土地+建物),八德路四段631~660號,6.04,都市：其他:第三種商業區。,,,1100131,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021216,61.18000000000001,1,1,1,有,有,15500000,253351,,0.0,0,陽台外推;,RPQNMLKKLHGGFDA86EA,25.22,6.04,7.91,有,28.0,13
北投區,房地(土地+建物),中山路1~30號,24.53,都市：其他:特定觀光商業專用區。,,,1100303,土地1建物2車位0,二十三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920127,181.44,2,2,2,有,有,33990000,187335,,0.0,0,,RPSPMLTJLHGGFEA18EA,92.57,0.0,37.76,有,,25
士林區,房地(土地+建物)+車位,中庸一路1~30號,117.93,都市：其他:住宅區(原為保護區，經都市計畫檢討主要計畫變更，但因細部計畫及整體開發作業尚未完成，尚未能准許依變更後計畫用途使用)。,,,1100127,土地2建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831003,279.98,3,2,2,有,有,30000000,116398,坡道平面,65.2,5000000,陽台外推;其他增建;,RPTPMLTJLHGGFEA28EA,142.28,1.53,19.44,有,,14
信義區,房地(土地+建物)+車位,信義路五段91~120號,8.14,都市：其他:特定業務區(信義計畫特定專用區)。,,,1100222,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980702,84.22999999999999,1,1,1,有,有,16000000,189956,坡道平面,0.0,0,,RPPNMLLKLHGGFDA86EA,26.24,1.26,4.28,有,,19
大安區,房地(土地+建物),和平東路一段181~210號,7.36,都市：其他:第三種住宅區。,,,1100116,土地2建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071224,76.65,1,1,1,有,有,27400000,357469,,0.0,0,,RPVNMLSJLHGGFFA18DA,42.45,0.0,4.12,有,,14
松山區,房地(土地+建物),長安東路二段211~240號,6.11,都市：其他:道路用地(公共設施用地)。48/3/13,,,1100219,土地3建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670817,68.67,2,2,1,有,有,14200000,206786,,0.0,0,,RPWQMLKKLHGGFDA67DA,52.25,0.0,3.95,有,,15
中山區,房地(土地+建物),新生北路三段1~30號,2.79,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第參之貳種住宅區) 但是否在第三種商業區(原屬第參之貳種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,,,1100208,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700122,28.46,1,0,1,有,有,5150000,180956,,0.0,0,,RPRNMLTJLHGGFCA57DA,19.46,0.0,0.98,有,,14
中山區,房地(土地+建物),中山北路一段91~120號,14.6,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100206,土地1建物1車位0,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1060330,229.35,3,2,2,有,有,80700000,351849,,0.0,0,,RPUNMLLKLHGGFCA17DA,139.28,6.04,15.26,有,56.0,23
中山區,房地(土地+建物),林森北路511~540號,4.14,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100130,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940826,45.010000000000005,1,1,1,有,有,12000000,266607,,0.0,0,陽台外推;夾層;,RPQPMLKLKHGGFCA86DA,24.65,0.31,3.13,有,,14
萬華區,房地(土地+建物)+車位,東園街151~180號,36.6,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第壹種商業區)。,,,1100208,土地1建物1車位1,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0921001,297.88,4,2,2,有,有,43000000,151595,坡道平面,30.72,2500000,,RPPNMLTJLHGGFBA27DA,161.04,0.0,15.95,有,,17
中正區,房地(土地+建物)+車位,中華路一段1~30號,8.92,都市：其他:第四種商業區。,,,1100203,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041214,132.56,2,2,1,有,有,35000000,264031,塔式車位,12.02,0,,RPXOMLQLKHGGFBA97DA,70.8,0.49,6.84,有,62.0,15
文山區,房地(土地+建物),木柵路四段151~180號,20.54,都市：其他:市場用地(公共設施用地)。,,,1100201,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870910,115.74,3,2,2,有,有,20300000,175393,,0.0,0,其他增建;,RPVNMLPLKHGGFAA47DA,79.41,1.19,8.97,有,,14
內湖區,房地(土地+建物)+車位,行善路271~300號,51.53,都市：其他:住商混合區,,,1091120,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021227,327.73,3,2,3,有,有,67000000,226238,坡道平面,59.87,6400000,,RPTQMLLLKIPFFCA28DA,158.48,14.9,15.9,有,,14
內湖區,房地(土地+建物)+車位,新富街151~180號,51.22,都市：其他:住宅區,,,1100121,土地1建物1車位2,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010601,348.35,3,1,3,有,有,69000000,198077,坡道平面,84.86,0,,RPXOMLLLJHGGFCA47DA,161.97,2.0,18.6,有,71.0,14
內湖區,房地(土地+建物)+車位,新富街121~150號,61.05,都市：其他:住宅區,,,1100218,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010403,391.96000000000004,3,2,4,有,有,67000000,170936,坡道平面,82.2,0,,RPPQMLKKLHGGFCA86DA,175.85,13.97,19.01,有,78.0,14
中山區,房地(土地+建物),林森北路511~540號,4.43,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100122,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940826,48.120000000000005,1,1,1,有,無,12060000,250623,,0.0,0,陽台外推;夾層;,RPXQMLSJLHGGFCA38DA,24.31,1.29,5.72,有,,14
