鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,幸福路61~90號,21.06,都市：其他:商業區,,,1091204,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,197.82,3,2,2,有,有,15400000,82547,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPWSMLNLKHGGFAH58DA,103.99,0.0,11.59,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,16.26,都市：其他:商業區,,,1090820,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,158.85,3,2,2,有,有,11490000,74179,坡道平面,28.22,1800000,預售屋、或土地及建物分次登記案件;,RPOTMLNLKHGGFAH87DA,78.61,0.0,10.41,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,16.26,都市：其他:商業區,,,1090302,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,158.85,3,2,2,有,有,11760000,77011,坡道平面,28.22,1700000,含裝潢費200000元;預售屋、或土地及建物分次登記案件;,RPRTMLNLKHGGFAH18DA,78.61,0.0,10.41,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,16.26,都市：其他:商業區,,,1090824,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,158.85,3,2,2,有,有,12040000,78389,坡道平面,28.22,1800000,預售屋、或土地及建物分次登記案件;,RPTTMLNLKHGGFAH38DA,78.61,0.0,10.41,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,16.26,都市：其他:商業區,,,1090820,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,158.85,3,2,2,有,有,12000000,78083,坡道平面,28.22,1800000,預售屋、或土地及建物分次登記案件;,RPUTMLNLKHGGFAH48DA,78.61,0.0,10.41,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,11.62,都市：其他:商業區,,,1090802,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,121.53,2,2,1,有,有,8680000,78020,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPPUMLNLKHGGFAH08DA,59.62,0.0,4.0,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,13.1,都市：其他:商業區,,,1091018,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,133.57,2,2,1,有,有,10120000,80873,坡道平面,28.22,1600000,預售屋、或土地及建物分次登記案件;,RPRUMLNLKHGGFAH28DA,64.5,0.0,7.27,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,11.24,都市：其他:商業區,,,1090621,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,118.4,2,2,1,有,有,8270000,76181,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPTUMLNLKHGGFAH48DA,57.11,0.0,4.36,有,
桃園區,房地(土地+建物)+車位,幸福路31~60號,11.3,都市：其他:商業區,,,1090801,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,119.02000000000001,2,2,1,有,有,8380000,76872,坡道平面,28.22,1400000,含裝潢費510000元;預售屋、或土地及建物分次登記案件;,RPUUMLNLKHGGFAH58DA,57.46,0.0,4.38,有,
桃園區,房地(土地+建物)+車位,幸福路31~60號,13.15,都市：其他:商業區,,,1090903,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,133.70999999999998,2,2,1,有,有,9530000,77069,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPXUMLNLKHGGFAH88DA,66.3,0.0,5.61,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,11.62,都市：其他:商業區,,,1090918,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,121.53,2,2,1,有,有,8660000,75662,坡道平面,28.22,1600000,預售屋、或土地及建物分次登記案件;,RPOVMLNLKHGGFAH08DA,59.62,0.0,4.0,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,23.79,都市：其他:商業區,,,1090919,土地1建物1車位1,一層，見其他登記事項,十五層,住宅大樓(11層含以上有電梯),店舖、住宅,鋼筋混凝土造,1091230,219.94,0,0,0,無,有,34980000,173065,坡道平面,28.22,1800000,預售屋、或土地及建物分次登記案件;,RPQVMLNLKHGGFAH28DA,110.31,0.0,20.1,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,12.77,都市：其他:商業區,,,1090625,土地1建物1車位1,一層，見其他登記事項,十五層,住宅大樓(11層含以上有電梯),店舖、住宅,鋼筋混凝土造,1091230,130.39000000000001,0,0,0,無,有,17080000,149118,坡道平面,27.25,1700000,預售屋、或土地及建物分次登記案件;,RPUVMLNLKHGGFAH68DA,59.7,0.0,10.59,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,16.26,都市：其他:商業區,,,1090820,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,158.85,3,2,2,有,有,11650000,75404,坡道平面,28.22,1800000,預售屋、或土地及建物分次登記案件;,RPVVMLNLKHGGFAH78DA,78.61,0.0,10.41,有,
桃園區,房地(土地+建物)+車位,幸福路31~60號,11.79,都市：其他:商業區,,,1091103,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,122.95,2,2,1,有,有,9000000,78117,坡道平面,28.22,1600000,預售屋、或土地及建物分次登記案件;,RPWVMLNLKHGGFAH88DA,54.71,0.0,9.85,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,11.24,都市：其他:商業區,,,1090803,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,118.4,2,2,1,有,有,8380000,77401,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPOWMLNLKHGGFAH18DA,57.11,0.0,4.36,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,11.24,都市：其他:商業區,,,1090718,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,118.4,2,2,1,有,有,8350000,77068,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPPWMLNLKHGGFAH28DA,57.11,0.0,4.36,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,16.81,都市：其他:商業區,,,1091001,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,163.27,3,2,2,有,有,12200000,77749,坡道平面,28.22,1700000,預售屋、或土地及建物分次登記案件;,RPRWMLNLKHGGFAH48DA,80.22,0.0,11.76,有,
桃園區,房地(土地+建物)+車位,正光路181~210號,41.3,都市：其他:第一之一種住宅區,,,1090921,土地1建物1車位2,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507,316.01,3,2,3,有,有,30750000,102854,坡道平面,50.1,3400000,,RPPNMLOLKHGGFAH47DA,162.12,4.23,16.05,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,23.9,都市：其他:商業區,,,1090628,土地1建物1車位3,一層，見其他登記事項,十五層,住宅大樓(11層含以上有電梯),店舖、住宅,鋼筋混凝土造,1091230,275.41999999999996,0,0,0,無,有,35060000,156783,坡道平面,83.69,5000000,預售屋、或土地及建物分次登記案件;,RPPQMLOLKHGGFAH77DA,110.31,0.0,20.1,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,11.62,都市：其他:商業區,,,1090924,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,120.55,2,2,1,有,有,8880000,78028,坡道平面,27.25,1600000,預售屋、或土地及建物分次登記案件;,RPQQMLOLKHGGFAH87DA,59.62,0.0,4.0,有,
桃園區,房地(土地+建物)+車位,幸福路31~60號,13.15,都市：其他:商業區,,,1090818,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,132.74,2,2,1,有,有,9810000,78775,坡道平面,27.25,1500000,預售屋、或土地及建物分次登記案件;,RPRQMLOLKHGGFAH97DA,66.3,0.0,5.61,有,
桃園區,房地(土地+建物)+車位,幸福路31~60號,15.77,都市：其他:商業區,,,1090902,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,155.1,3,2,2,有,有,10790000,74007,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPSQMLOLKHGGFAH08DA,75.31,0.0,11.18,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,12.01,都市：其他:商業區,,,1091125,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,124.97,2,2,1,有,有,9700000,83721,坡道平面,28.22,1600000,預售屋、或土地及建物分次登記案件;,RPUQMLOLKHGGFAH28DA,60.24,0.0,5.61,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,12.01,都市：其他:商業區,,,1091012,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,124.97,2,2,1,有,有,9250000,79070,坡道平面,28.22,1600000,預售屋、或土地及建物分次登記案件;,RPWQMLOLKHGGFAH48DA,60.24,0.0,5.61,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,11.24,都市：其他:商業區,,,1081122,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,117.43,2,2,1,有,有,7880000,72965,坡道平面,27.25,1300000,預售屋、或土地及建物分次登記案件;,RPXRMLOLKHGGFAH68DA,57.11,0.0,4.36,有,
桃園區,房地(土地+建物)+車位,幸福路31~60號,11.79,都市：其他:商業區,,,1090918,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,121.98,2,2,1,有,有,8600000,74950,坡道平面,27.25,1500000,預售屋、或土地及建物分次登記案件;,RPPSMLOLKHGGFAH97DA,54.71,0.0,9.85,有,
桃園區,房地(土地+建物)+車位,慈光街1~30號,27.63,都市：其他:住宅區,,,1100108,土地1建物1車位2,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990318,233.24,4,2,2,有,有,13000000,55737,坡道平面,66.28,0,陽台外推;,RPTNMLPLKHGGFAH97DA,100.82,4.85,10.42,有,
桃園區,房地(土地+建物),南平路108巷1~30號,20.2,都市：其他:住宅區,,,1091115,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701022,71.92,2,2,1,有,無,3450000,47970,,0.0,0,陽台外推;,RPVNMLPLKHGGFAH18DA,71.92,0.0,0.0,無,
桃園區,車位,經國一路121~150號,0.28,都市：其他:商業區,,,1100112,土地1建物0車位1,,,其他,,,,0.0,0,0,0,有,有,1800000,,坡道平面,29.98,1800000,僅車位交易;,RPTPMLPLKHGGFAH18DA,0.0,0.0,0.0,有,
桃園區,房地(土地+建物)+車位,經國一路121~150號,20.18,都市：其他:商業區,,,1100117,土地1建物1車位2,十六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070814,195.65,3,2,2,有,有,15200000,85489,坡道平面,59.96,3600000,,RPROMLNLKHGGFAH67DA,84.23,0.0,7.0,有,
桃園區,房地(土地+建物)+車位,吉安一街58巷1~30號,23.93,都市：其他:住宅區,,,1090525,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091023,147.56,2,2,2,有,有,10630000,77867,坡道平面,33.52,1750000,,RPQPMLMJLHGGFAH47DA,64.15,4.81,10.08,有,
桃園區,房地(土地+建物)+車位,吉安一街58巷1~30號,20.91,都市：其他:住宅區,,,1090217,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091023,128.29,2,2,1,有,有,8760000,74708,坡道平面,32.45,1600000,,RPRPMLMJLHGGFAH57DA,56.12,5.13,4.02,有,
桃園區,房地(土地+建物)+車位,中正三街151~180號,16.86,都市：其他:住宅區,,,1100128,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000301,130.65,2,2,1,有,有,8000000,61232,坡道平面,35.59,0,,RPRSMLNJLHGGFAH97DA,53.24,4.33,9.05,有,0003
桃園區,車位,藝文二街61~90號,1.43,都市：其他:商業區,,,1091117,土地1建物0車位3,,,其他,,,,0.0,0,0,0,有,有,5700000,,坡道平面,65.22,5700000,僅車位交易;,RPVRMLNJLHGGFAH28DA,0.0,0.0,0.0,有,0004
桃園區,房地(土地+建物)+車位,國強十街61~90號,19.83,都市：其他:第二種住宅區,,,1100120,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070611,144.52,2,2,2,有,有,11500000,79574,坡道平面,24.78,0,,RPPSMLNJLHGGFAH77DA,71.5,4.1,10.08,有,0005
桃園區,房地(土地+建物)+車位,力行路331~360號,24.1,都市：其他:住宅區,,,1091211,土地1建物1車位1,十八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071011,170.39,3,2,2,有,有,13300000,86213,坡道平面,35.26,1650000,僅車位交易;,RPQOMLSJLHGGFAH97DA,83.87,0.0,6.95,有,
桃園區,房地(土地+建物),大興西路一段323巷1~30號,12.73,都市：其他:住宅區,,,1100129,土地1建物1車位0,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860701,117.56,3,2,2,有,有,8800000,74855,,0.0,0,,RPRPMLSJLHGGFAH18DA,78.07,2.46,16.63,有,0006
桃園區,房地(土地+建物)+車位,吉安一街151~180號,12.16,都市：其他:第一之二種住宅區,,,1090208,土地1建物1車位1,十八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070323,112.07,2,2,1,有,有,10000000,102570,坡道平面,27.25,1300000,,RPORMLSJLHGGFAH08DA,52.74,1.04,2.55,有,
桃園區,房地(土地+建物),朝陽街二段1~30號,2.92,都市：其他:商業區,,,1100227,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780522,37.18,0,0,0,無,有,2100000,56482,,0.0,0,含土地增值稅或其他稅費15442元;,RPXTMLSJLHGGFAH56DA,21.25,8.54,0.0,有,0007
桃園區,房地(土地+建物),龍壽街61~90號,210.71,都市：其他:乙種工業區,,,1100206,土地1建物1車位0,全,四層,透天厝,廠房．梯間,鋼筋混凝土造,0850729,606.66,4,0,6,有,無,36500000,60165,,0.0,0,頂樓加蓋;夾層;其他增建;,RPVUMLSJLHGGFAH09DA,492.32,76.13,38.21,無,
桃園區,房地(土地+建物)+車位,大有路511~540號,11.23,都市：其他:住宅區,,,1100125,土地1建物1車位1,一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840419,127.10000000000001,3,2,2,有,有,6400000,50354,坡道平面,31.82,0,,RPSUMLSJLHGGFAH78DA,98.66,11.49,0.0,有,
桃園區,房地(土地+建物)+車位,桃鶯路361~390號,20.87,都市：其他:住宅區,,,1100130,土地1建物1車位2,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001128,195.89,3,2,2,有,有,10500000,53602,坡道平面,67.85,0,陽台外推;,RPXRMLTJLHGGFAH09DA,75.45,3.29,11.33,有,
