鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中正區,車位,汀州路一段91~120號,0.74,都市：其他:第三種住宅區。,,,1100111,土地1建物1車位1,地下二層,七層,其他,防空避難室兼停車場,鋼筋混凝土造,0791105,24.67,0,0,0,有,有,300000,,坡道平面,24.67,300000,親友、員工、共有人或其他特殊關係間之交易;僅車位交易;,RPPNMLNLJHGGFAA56DA,0.0,0.0,0.0,有,
文山區,房地(土地+建物),萬隆街31~60號,27.29,都市：其他:第三種住宅區。,,,1100113,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670921,111.07,3,2,2,有,無,13800000,124246,,0.0,0,,RPVOMLMJKHGGFAA07DA,93.41,0.0,12.73,無,001
中正區,房地(土地+建物),寧波東街16巷1~30號,13.44,都市：其他:第三之一種住宅區(中正紀念堂特定專用區)及第三種住宅區及第三種住宅區(中正紀念堂特定專用區)。,,,1100112,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0741022,76.49,0,1,1,有,有,24070000,314682,,0.0,0,,RPSNMLSJKHGGFAA27DA,51.61,0.0,0.0,有,
文山區,房地(土地+建物),久康街24巷1~30號,16.3,都市：其他:第三種住宅區。,,,1100124,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960427,76.34,1,2,1,有,有,12900000,168981,,0.0,0,陽台外推;其他增建;,RPTOMLRKKHGGFAA47DA,44.8,2.45,3.44,有,
文山區,房地(土地+建物)+車位,興隆路二段233巷5弄1~30號,28.52,都市：其他:第三種住宅區。,,,1100202,土地2建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981118,124.69,2,2,2,有,有,21000000,168418,坡道機械,0.0,0,陽台外推;其他增建;,RPSPMLSKKHGGFAA57DA,68.05,5.38,7.84,有,002
中正區,房地(土地+建物),門街131巷1~30號,49.88,都市：其他:第三種住宅區。,,,1100204,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,126.55,4,2,2,有,無,30000000,237060,,0.0,0,其他增建;,RPRQMLSKKHGGFAA57DA,126.54,0.0,0.0,無,
文山區,房地(土地+建物)+車位,興隆路三段181巷61~90號,34.23,都市：其他:第二種住宅區。,,,1090711,土地3建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001024,130.64,2,2,1,有,有,23000000,176056,坡道機械,15.23,0,,RPQOMLOLKHGGFAA96DA,64.91,5.83,6.08,有,
文山區,房地(土地+建物),萬美街二段2巷1~30號,29.84,都市：其他:第貳類住宅用地(萬芳社區特定專用區)。,,,1100114,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0720916,46.76,1,1,1,有,有,6490000,138794,,0.0,0,,RPSOMLMJLHGGFAA86DA,31.75,0.0,4.14,有,
文山區,房地(土地+建物)+車位,萬盛街166巷1~30號,41.08,都市：其他:第三種住宅區。,,,1100111,土地1建物1車位2,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030707,203.3,0,0,0,無,無,27500000,134415,升降機械,23.26,3300000,土地價格:1787.5萬;建物價格:962.5萬,RPQNMLSJLHGGFAA17DA,99.0,10.13,9.83,有,
中正區,房地(土地+建物),汀州路三段241~270號,20.76,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100227,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710225,126.44999999999999,3,1,2,有,有,27000000,213523,,0.0,0,,RPSPMLTJLHGGFAA67DA,81.57,0.0,25.59,有,
中正區,房地(土地+建物),中華路二段467巷14弄1~30號,25.6,都市：其他:第三種住宅區。,,,1100130,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741206,104.17,3,2,1,有,無,15000000,143995,,0.0,0,頂樓加蓋;其他增建;,RPQNMLKKLHGGFAA09DA,79.8,5.52,8.96,無,
中正區,房地(土地+建物),仁愛路二段15巷1~30號,8.56,都市：其他:第三之二種住宅區。,,,1100125,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820722,31.479999999999997,1,1,1,有,無,10280000,326557,,0.0,0,其他增建;,RPSNMLMLKHGGFBA96DA,20.59,0.0,2.88,有,003
萬華區,房地(土地+建物),萬大路493巷48弄1~30號,32.74,都市：其他:第三種住宅區。,,,1100130,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750909,106.33,3,2,2,有,無,14250000,134017,,0.0,0,陽台外推;其他增建;,RPOOMLPLKHGGFBA96DA,87.85,0.0,18.48,無,004
大同區,房地(土地+建物),太原路115巷1~30號,22.02,都市：其他:第三種商業區。,,,1100127,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0820517,94.47,1,1,1,有,無,12000000,127024,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPXNMLQLKHGGFBA87DA,80.28,0.0,14.19,無,
大同區,房地(土地+建物),南京西路167巷1~30號,29.75,都市：其他:第三種商業區。,,,1100105,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610414,92.55,3,1,2,有,無,7320000,79092,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSOMLOJLHGGFBA17DA,92.55,0.0,0.0,無,
萬華區,房地(土地+建物)+車位,長沙街二段61~90號,6.65,都市：其他:第四種商業區。,,,1100220,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950127,88.50999999999999,2,1,2,有,有,14690000,165970,其他,0.0,0,,RPSOMLPJLHGGFBA27DA,47.59,0.0,3.03,有,
萬華區,房地(土地+建物),貴陽街二段181~210號,22.8,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第肆種住宅區及第參種商業區)。,,,1091210,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681122,87.08,3,2,2,有,無,4500000,51677,,0.0,0,本案為公同共有依土地法三十四條之一第一項至第三項規定辦理親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;,RPUSMLPJLHGGFBA87DA,76.66,0.0,10.42,無,
萬華區,房地(土地+建物),康定路121~150號,16.22,都市：其他:第四種商業區。,,,1091222,土地3建物1車位0,五層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0790601,151.41,3,2,3,有,無,21300000,140678,,0.0,0,陽台外推;其他增建;,RPOTMLPJLHGGFBA37DA,126.87,0.0,11.25,有,
大同區,房地(土地+建物)+車位,南京西路211~240號,24.79,都市：其他:第三種商業區。,,,1100209,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030317,283.72,4,2,2,有,有,62500000,220288,坡道平面,51.24,0,,RPTOMLSJLHGGFBA67DA,138.35,11.12,11.6,有,005
大同區,房地(土地+建物),歸綏街181~210號,6.05,都市：其他:第三種商業區。,,,1100123,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0680925,63.68,2,1,1,有,有,9700000,152324,,0.0,0,陽台外推;其他增建;,RPVPMLSJLHGGFBA97DA,39.35,0.0,6.31,有,006
中山區,房地(土地+建物)+車位,復興北路391~420號,104.11,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第參之壹種住宅區及第參之貳種住宅區)。,,,1100119,土地1建物1車位3,六層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0780725,1045.98,0,0,0,無,有,197770000,189076,坡道平面,0.0,0,,RPWOMLKLJHGGFCA27DA,817.55,0.0,52.02,有,
內湖區,房地(土地+建物),成功路二段115巷47弄1~30號,35.55,非都市： ; 非都市編定：,,,1100122,土地4建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650614,61.76,2,2,1,有,無,9020000,146049,,0.0,0,,RPORMLOJKHGGFCA07DA,57.98,0.0,3.78,無,007
內湖區,房地(土地+建物),康樂街48巷1~30號,27.66,都市：其他:第三種住宅區。,,,1100110,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760112,104.13,3,2,1,有,無,14380000,138097,,0.0,0,其他增建;,RPQNMLPJKHGGFCA96DA,84.71,0.0,8.96,無,
內湖區,房地(土地+建物),民權東路六段56巷5弄1~30號,22.71,都市：其他:第三種住宅區。,,,1100205,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720608,84.26,3,2,1,有,無,12680000,150487,,0.0,0,其他增建;,RPXQMLPJKHGGFCA97DA,66.0,0.0,14.14,無,
中山區,房地(土地+建物)+車位,松江路156巷1~30號,13.36,都市：其他:第三種住宅區。,,,1100201,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900118,77.53,2,1,1,有,無,16800000,216690,升降機械,0.0,1500000,陽台外推;其他增建;,RPQOMLNJLHGGFCA96DA,27.65,3.71,3.53,有,008
內湖區,房地(土地+建物)+車位,民權東路六段180巷42弄31~60號,19.17,都市：其他:第三種住宅區。,,,1100202,土地2建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0911128,74.84,1,1,1,有,有,12550000,167691,坡道機械,14.62,0,陽台外推;夾層;其他增建;,RPQRMLNJLHGGFCA27DA,34.45,2.21,4.4,有,
中山區,車位,大直街1~30號,0.55,都市：其他:第三種住宅區。,,,1100223,土地1建物1車位1,地下三層,十四層,其他,停車空間,鋼筋混凝土造,0890801,45.53,0,0,0,有,有,2750000,,坡道平面,0.0,2750000,僅車位交易;,RPVPMLOLKHGGFCA77DA,0.0,0.0,0.0,有,009
內湖區,車位,成功路四段151~180號,0.41,都市：其他:市場用地,,,1100128,土地1建物1車位1,,,其他,,,,29.1,0,0,0,有,有,2500000,,坡道平面,29.1,2500000,僅車位交易;,RPTQMLOLKHGGFCA67DA,0.0,0.0,0.0,有,010
