鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
林園區,房地(土地+建物),漁港路96巷1~30號,80.0,都市：其他:住宅區,,,1100129,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0700826,154.2,4,2,3,有,無,1500000,9728,,0.0,0,一樓空地增建,RPUPMLKKLHGGFLE58DA,154.2,0.0,0.0,無,
大寮區,房地(土地+建物),青峰街5巷1~30號,81.0,都市：其他:第二種住宅區,,,1100205,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0790710,188.08,6,1,6,有,無,5900000,31370,,0.0,0,含傢俱設備費;其他增建;,RPPQMLKKLHGGFLE18DA,166.18,12.84,9.08,無,0051
林園區,房地(土地+建物),龔厝路33巷1~30號,45.0,都市：其他:住宅區,,,1100115,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,86.26,3,2,2,有,無,2960000,34315,,0.0,0,,RPPOMLKLKHGGFLE97DA,86.26,0.0,0.0,無,0052
林園區,房地(土地+建物),五福路121~150號,85.0,都市：其他:住宅區,,,1100102,土地1建物1車位0,全,三層,透天厝,住宅,鋼筋混凝土,1091116,183.12,4,2,4,有,無,9120000,49803,,0.0,0,其他增建;,RPTNMLRJLHGGFLE88DA,172.13,0.0,10.99,無,
大寮區,房地(土地+建物),民安街36巷1~30號,86.7,,,,1100301,土地5建物1車位0,全,五層,透天厝,集合住宅,鋼筋混凝土造,1090317,272.62,5,2,4,有,無,16500000,60524,,0.0,0,,RPVNMLPJLHGGFLE88DA,259.38,0.0,13.24,有,
大寮區,土地,赤崁段潮州寮小段6151~6180地號,2372.0,,,,1100114,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31500000,13280,,0.0,0,未登記建物;,RPPOMLQLKHGGFLE58DA,0.0,0.0,0.0,無,
大寮區,房地(土地+建物),上寮路31~60號,118.96,都市：其他:住宅區,,,1100206,土地3建物1車位0,全,三層,透天厝,Ｈ２集合住宅,鋼筋混凝土造,1080218,238.58,5,2,5,有,無,10800000,45268,,0.0,0,,RPUOMLOJLHGGFLE78DA,225.97,0.0,12.61,無,0053
阿蓮區,土地,中路段2011~2040地號,1840.0,,特定農業區,農牧用地,1100206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,3804,,0.0,0,農業設施;,RPSNMLKKLHGGFJE97DA,0.0,0.0,0.0,無,0054
林園區,房地(土地+建物),東林西路161巷1~30號,94.0,都市：其他:商業區,,,1100224,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0800623,115.15,3,2,2,有,無,4500000,39079,,0.0,0,,RPPNMLOLKHGGFLE28DA,115.15,0.0,0.0,無,
林園區,土地,林園段121~150地號,33.3,都市：其他:道路用地,,,1100205,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,63063,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQNMLOLKHGGFLE38DA,0.0,0.0,0.0,無,
大寮區,房地(土地+建物),鳳林一路9巷1~30號,108.97,都市：其他:綠地,,,1100127,土地3建物1車位0,全,二層,透天厝,住商用,加強磚造,0690822,96.8,4,2,2,有,無,2620000,27066,,0.0,0,其他增建;,RPROMLRKKHGGFLE78DA,96.8,0.0,0.0,無,
林園區,房地(土地+建物),文賢南路147巷1~30號,41.29,都市：其他:住宅區,,,1100129,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720928,94.44,3,2,2,有,無,850000,9000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPTOMLRKKHGGFLE98DA,82.55,0.0,11.89,無,0055
美濃區,土地,美中段181~210地號,139.43,都市：其他:綠地用地,,,1100111,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2620000,18791,,0.0,0,,RPRNMLSJLHGGFKE68DA,0.0,0.0,0.0,無,
