鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物),信義路110巷2弄1~30號,22.75,都市：其他:住宅區,,,1100210,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670317,65.58,2,2,1,有,無,4000000,60994,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;陽台外推;,RPQUMLTJLHGGFAF48DA,65.58,0.0,0.0,無,
板橋區,房地(土地+建物),大智街71巷13弄1~30號,21.75,都市：其他:住宅區,,,1100114,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630821,60.83,2,1,1,有,無,7100000,116719,,0.0,0,,RPTOMLKKLHGGFAF37DA,52.95,0.0,7.88,無,
土城區,房地(土地+建物),福祥街95巷1~30號,36.37,都市：其他:第一種住宅區,,,1100128,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,114.69,3,2,2,有,無,8500000,74113,,0.0,0,,RPRNMLKKLHGGFAF07DA,102.1,0.0,12.59,無,
泰山區,房地(土地+建物)+車位,明志路三段451~480號,54.71,都市：其他:乙種工業區,,,1090917,土地1建物1車位2,四層,十九層,住宅大樓(11層含以上有電梯),工廠,鋼筋混凝土造,1070831,324.21000000000004,0,0,0,無,有,18370000,60670,坡道平面,54.39,2000000,,RPOOMLKMRHPFFBF58DA,0.0,0.0,0.0,有,
泰山區,房地(土地+建物)+車位,明志路三段451~480號,54.67,都市：其他:乙種工業區,,,1090917,土地1建物1車位2,四層,十九層,住宅大樓(11層含以上有電梯),工廠,鋼筋混凝土造,1070831,323.90999999999997,0,0,0,無,有,18600000,61776,坡道平面,54.39,1950000,,RPROMLKMRHPFFBF88DA,157.83,9.07,6.1,有,
泰山區,房地(土地+建物),明志路一段1~30號,9.57,都市：其他:乙種工業區,,,1100109,土地2建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),一般事務所,鋼筋混凝土造,1000623,92.16,2,2,1,有,有,7850000,85178,,0.0,0,陽台外推;,RPOQMLLKJHGGFBF07DA,60.64,1.01,6.09,有,
林口區,土地,菁埔段粉寮水尾小段211~240地號,332.0,都市：其他:乙種工業區,,,1091226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34146200,102850,,0.0,0,,RPVOMLPKJHGGFBF97DA,0.0,0.0,0.0,無,
新莊區,房地(土地+建物)+車位,中平路110巷31~60號,21.29,都市：其他:住宅區,,,1100103,土地1建物1車位1,三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800206,175.05,3,2,2,有,有,15280000,87289,坡道平面,0.0,1800000,其他增建;,RPVQMLMJKHGGFBF87DA,90.5,0.0,14.58,有,
林口區,房地(土地+建物)+車位,民族路1~30號,18.31,都市：其他:第五種住宅區,,,1091009,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,153.07,3,2,2,有,有,14710000,112339,坡道平面,39.93,2000000,,RPVNMLMJKHGGFBF57DA,67.32,4.75,4.68,有,
五股區,房地(土地+建物)+車位,芳洲五路1~30號,50.68,都市：其他:住宅區,,,1100130,土地1建物1車位2,二十層,二十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1031117,295.92,3,2,2,有,有,22000000,74344,坡道平面,0.0,0,,RPUNMLOJKHGGFBF67DA,151.58,0.0,16.29,有,0008
林口區,房地(土地+建物)+車位,文化三路二段1~30號,13.05,都市：其他:中心商業區,,,1100201,土地1建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970729,144.20999999999998,2,2,1,有,有,10500000,72810,坡道平面,39.18,0,,RPXNMLSJKHGGFBF38DA,61.31,0.0,7.35,有,
林口區,房地(土地+建物)+車位,文化二路二段110巷1~30號,21.25,都市：其他:第五種住宅區,,,1100124,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950705,155.82999999999998,3,2,2,有,有,10750000,68985,坡道平面,34.53,0,陽台外推;其他增建;,RPOOMLTJKHGGFBF67DA,76.0,2.31,13.69,有,0009
新莊區,房地(土地+建物),西盛街344巷22弄1~30號,24.55,都市：其他:住宅區,,,1100115,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820318,116.57,3,2,2,有,有,9500000,81496,,0.0,0,陽台外推;其他增建;,RPPPMLSKKHGGFBF87DA,82.36,0.56,11.72,有,
林口區,房地(土地+建物),中正路361~390號,42.0,都市：其他:第二種住宅區,,,1100114,土地2建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1010803,162.86,3,2,2,有,有,11610000,71288,,0.0,0,,RPTSMLTKKHGGFBF68DA,95.8,6.97,8.38,有,
新莊區,房地(土地+建物)+車位,五工一路87巷1~30號,12.43,,工業區,丁種建築用地,1100110,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1060704,72.08,1,2,1,有,有,8900000,123474,塔式車位,8.29,0,,RPSNMLKLKHGGFBF27DA,34.24,3.1,4.05,有,0010
林口區,房地(土地+建物),民族路1~30號,10.05,都市：其他:第五種住宅區,,,1090817,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,68.28999999999999,2,2,1,有,有,6690000,97965,,0.0,0,,RPSQMLKLKHGGFBF57DA,42.66,0.0,3.7,有,
林口區,房地(土地+建物),民族路1~30號,9.1,都市：其他:第五種住宅區,,,1091206,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,61.97,2,2,1,有,有,6600000,106503,,0.0,0,,RPSPMLMLKHGGFBF67DA,38.6,0.79,2.45,有,
林口區,房地(土地+建物)+車位,民生路121~150號,39.02,都市：其他:第二種住宅區,,,1100110,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030613,166.8,3,2,2,有,有,13980000,83813,坡道平面,28.73,0,,RPRTMLNLKHGGFBF08DA,84.87,0.0,8.58,有,0011
新莊區,房地(土地+建物)+車位,福美街31~60號,12.66,都市：其他:商業區,,,1091215,土地1建物1車位1,二十六層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1090612,137.06,0,0,0,無,無,18200000,160024,坡道平面,38.95,2500000,含裝潢費;含傢俱設備費;,RPWOMLOLKHGGFBF18DA,57.34,3.6,5.18,有,
新莊區,房地(土地+建物)+車位,福美街31~60號,19.6,都市：其他:商業區,,,1100119,土地1建物1車位1,七層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1090612,191.43,3,2,2,有,無,22900000,135100,坡道平面,38.95,2300000,含裝潢費;含傢俱設備費;,RPOPMLOLKHGGFBF47DA,84.81,1.87,14.7,有,
新莊區,房地(土地+建物)+車位,福美街31~60號,19.6,都市：其他:商業區,,,1100115,土地1建物1車位1,十一層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1090612,191.43,3,2,2,有,無,24350000,143297,坡道平面,38.95,2500000,含裝潢費;含傢俱設備費;,RPPPMLOLKHGGFBF57DA,84.81,1.87,14.7,有,
新莊區,房地(土地+建物)+車位,福美街31~60號,19.6,都市：其他:商業區,,,1091227,土地1建物1車位1,十二層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1090612,191.39,3,2,2,有,無,24500000,144319,坡道平面,38.95,2500000,含裝潢費;含傢俱設備費;,RPUPMLOLKHGGFBF08DA,84.86,1.87,14.61,有,
新莊區,房地(土地+建物)+車位,福美街31~60號,19.6,都市：其他:商業區,,,1100116,土地1建物1車位1,十四層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1090612,191.39,3,2,2,有,無,24880000,147468,坡道平面,38.95,2400000,含裝潢費;含傢俱設備費;,RPVPMLOLKHGGFBF18DA,84.86,1.87,14.61,有,
新莊區,房地(土地+建物)+車位,福美街31~60號,19.6,都市：其他:商業區,,,1091205,土地1建物1車位1,二十一層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1090612,191.43,3,2,2,有,無,26000000,154119,坡道平面,38.95,2500000,含裝潢費;含傢俱設備費;,RPWPMLOLKHGGFBF28DA,84.82,1.88,14.7,有,
