鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
西屯區,房地(土地+建物)+車位,環中路三段61~90號,10.3,都市：其他:第四之一種商業區,,,1091229,土地1建物1車位1,七層,二十七層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,1060524,160.25,3,2,2,有,有,14200000,88612,坡道平面,31.72,0,,RPQQMLOKJHGGFCB27DA,70.66,12.57,0.0,有,0093
南屯區,房地(土地+建物)+車位,河南路四段691~720號,23.65,都市：其他:第二種住宅區,,,1100217,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950222,242.67000000000002,3,2,2,有,有,14000000,57692,坡道平面,36.48,0,親友、員工、共有人或其他特殊關係間之交易;,RPTNMLRKKHGGFCB67DA,131.23,17.85,0.0,有,
南屯區,房地(土地+建物)+車位,河南路四段451~480號,18.08,都市：其他:第二種住宅區,,,1100131,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,0931206,188.85,4,2,2,有,有,16180000,96180,坡道平面,36.22,1500000,其他增建;,RPQOMLRKKHGGFCB47DA,102.87,7.88,0.0,有,
西屯區,房地(土地+建物)+車位,文中路1~30號,20.7,都市：其他:第二種住宅區,,,1100115,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0840208,126.75999999999999,3,2,2,有,有,9750000,76917,升降機械,0.0,0,其他增建;,RPPSOLMJKHGGFCB37DA,79.3,11.14,0.0,有,
西屯區,房地(土地+建物)+車位,文心路三段211~240號,20.4,都市：其他:第二種住宅區,,,1100129,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880212,174.05,4,2,2,有,有,11120000,63890,坡道機械,0.0,0,,RPWSMLLJKHGGFCB77DA,117.57,8.8,0.0,有,
西屯區,房地(土地+建物)+車位,市政北七路181~210號,12.76,都市：其他:第六種新市政中心專用區,,,1100113,土地1建物1車位1,十三層,二十八層,住宅大樓(11層含以上有電梯),辦公室辦公事務所及工商服務業,鋼筋混凝土造,1060321,232.31,0,0,0,無,有,24050000,103525,坡道機械,5.5,0,含裝潢費;,RPRQMLOJKHGGFCB37DA,108.78,23.98,0.0,有,
西屯區,房地(土地+建物)+車位,市政北七路181~210號,19.17,都市：其他:第六種新市政中心專用區,,,1100108,土地1建物1車位2,十三層,二十八層,住宅大樓(11層含以上有電梯),辦公室辦公事務所及工商服務業,鋼筋混凝土造,1060321,355.86,0,0,0,無,有,35670000,100236,坡道機械,16.76,0,含裝潢費;,RPTQMLOJKHGGFCB57DA,161.49,36.92,0.0,有,
西屯區,房地(土地+建物),國安一路235巷1~30號,30.42,都市：其他:第六種住宅區,,,1100107,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0850923,138.43,3,2,2,有,有,6470000,46738,,0.0,0,,RPORMLOJKHGGFCB17DA,80.39,9.09,0.0,有,
南屯區,房地(土地+建物),文心南三路511~540號,4.62,都市：其他:第三種商業區,,,1100218,土地1建物1車位0,十七層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090831,58.56,1,1,1,有,有,7350000,125512,,0.0,0,,RPRQMLSKKHGGFCB87DA,32.62,3.55,0.0,有,0094
西屯區,房地(土地+建物)+車位,成都路271~300號,23.11,都市：其他:第二種住宅區,,,1100114,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830627,186.29,4,2,2,有,有,10900000,58511,坡道平面,0.0,0,,RPOQMLRKKHGGFCB47DA,117.2,11.49,0.0,有,
南屯區,房地(土地+建物)+車位,大墩十七街91~120號,35.64,都市：其他:第二種住宅區,,,1100217,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940215,171.51999999999998,4,2,2,有,有,15500000,90368,坡道平面,19.26,0,,RPPNMLKLKHGGFCB66DA,105.3,6.89,0.0,有,
南屯區,房地(土地+建物)+車位,文山路61~90號,30.54,都市：其他:第二種住宅區,,,1091030,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080718,192.35,3,2,2,有,有,11650000,60567,坡道平面,29.57,0,,RPSNMLKLKHGGFCB96DA,98.02,10.33,0.0,有,
南屯區,房地(土地+建物)+車位,大墩路751~780號,24.04,都市：其他:第二種住宅區,,,1100125,土地1建物1車位1,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831206,229.68,4,2,2,有,有,13200000,57471,坡道平面,0.0,0,,RPXQMLPLJHGGFCB18DA,155.08,18.96,0.0,有,
西屯區,房地(土地+建物)+車位,大鵬路1~30號,24.28,都市：其他:第二種商業區,,,1100126,土地1建物1車位2,十二層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080116,249.55,3,2,2,有,有,21880000,98300,坡道平面,59.52,3200000,,RPXNMLQLKHGGFCB08DA,110.63,16.6,0.0,有,0095
西屯區,房地(土地+建物)+車位,安和一街31~60號,31.56,都市：其他:第一之B種住宅區,,,1100220,土地2建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090408,143.36,3,2,2,有,有,13500000,105752,坡道平面,30.36,1550000,,RPSOMLQLKHGGFCB67DA,67.79,7.61,0.0,有,
南屯區,房地(土地+建物),文山九街61~90號,66.79,都市：其他:第二種住宅區,,,1100131,土地1建物1車位0,全,四層,透天厝,人行道、店舖、辦公室、住宅,鋼筋混凝土造,0870812,182.05,10,1,11,有,無,17770000,97611,,0.0,0,陽台外推;頂樓加蓋;其他增建;,RPWOMLNJLHGGFCB67DA,157.29,24.76,0.0,無,0096
南屯區,房地(土地+建物),公益路二段481~510號,196.63,都市：其他:第三種住宅區。,,,1100226,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0840617,303.74,6,2,5,有,無,44800000,147495,,0.0,0,,RPPPMLMJLHGGFCB96DA,233.91,69.83,0.0,無,0097
西屯區,房地(土地+建物)+車位,福裕路61~90號,48.08,都市：其他:第二之A種住宅區,,,1100217,土地2建物1車位1,八層,二十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060629,260.9,3,2,2,有,有,24080000,92296,坡道平面,0.0,0,,RPQPMLMJLHGGFCB07DA,124.1,20.4,0.0,有,0098
西屯區,房地(土地+建物),西屯路二段上石南八巷1~30號,20.76,都市：其他:第三之二種住宅區,,,1100131,土地1建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0871103,106.16,3,2,2,有,有,6420000,60475,,0.0,0,,RPOPMLOJLHGGFCB07DA,72.11,8.46,0.0,有,
西屯區,房地(土地+建物),文心路三段1~30號,5.55,都市：其他:第三種商業區,,,1100207,土地1建物1車位0,十九層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,61.72,1,1,1,有,有,5700000,92353,,0.0,0,陽台外推;,RPXPMLOJLHGGFCB97DA,38.36,3.47,0.0,有,
西屯區,房地(土地+建物)+車位,國安一路121~150號,7.11,都市：其他:第六種住宅區,,,1100208,土地1建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,84.67,2,2,1,有,有,7450000,87989,坡道機械,13.89,0,,RPVTMLTJLHGGFCB68DA,43.28,5.49,0.0,有,
西屯區,房地(土地+建物)+車位,玉門路211~240號,33.41,都市：其他:第六種住宅區,,,1100131,土地1建物1車位2,十九層,二十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050502,354.33,4,2,3,有,有,28000000,79022,坡道平面,49.2,0,,RPTSMLTJLHGGFCB38DA,176.34,30.61,0.0,有,
南屯區,房地(土地+建物)+車位,豐富路299巷1~30號,25.2,都市：其他:第三之一種商業區,,,1100203,土地1建物1車位2,二層,十五層,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,1070202,243.19,3,2,2,有,有,22500000,103030,坡道平面,55.38,3150000,,RPUQMLTJLHGGFCB28DA,105.51,18.7,0.0,有,
南屯區,房地(土地+建物),精誠路530巷1~30號,61.0,都市：其他:第二種住宅區,,,1100121,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0730216,104.34,6,2,3,有,無,14500000,138969,,0.0,0,陽台外推;頂樓加蓋;其他增建;,RPWQMLTJLHGGFCB48DA,92.95,11.39,0.0,無,
西屯區,房地(土地+建物),至善路211~240號,5.85,都市：其他:第二種住宅區,,,1100207,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870428,64.69,2,1,2,有,有,4360000,67398,,0.0,0,,RPQPMLKKLHGGFCB96DA,34.5,5.87,0.0,有,
西屯區,房地(土地+建物),四川路87巷61~90號,9.51,都市：其他:第二種住宅區,,,1100130,土地1建物2車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,69.06,1,1,1,有,有,4600000,66609,,0.0,0,,RPRPMLKKLHGGFCB07DA,40.38,5.27,0.0,有,
西屯區,房地(土地+建物)+車位,漢口路二段211~240號,25.67,都市：其他:第二種住宅區,,,1100131,土地1建物1車位1,一層，二層，騎樓,八層,華廈(10層含以下有電梯),人行道、店舖、住宅,鋼筋混凝土造,0851101,167.49,1,2,2,有,有,19300000,115231,升降機械,13.25,0,,RPUOMLKKLHGGFCB27DA,130.97,5.15,0.0,有,0099
南屯區,房地(土地+建物)+車位,春安路121~150號,10.43,都市：其他:第五種住宅區,,,1100227,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1081128,108.12,1,2,1,有,有,6150000,56881,坡道平面,0.0,0,,RPVOMLKKLHGGFCB37DA,42.05,4.92,0.0,有,0100
西屯區,房地(土地+建物),大有五街1~30號,26.08,都市：其他:第二種住宅區,,,1091112,土地1建物1車位0,一層，騎樓,八層,華廈(10層含以下有電梯),店舖、人行道,鋼筋混凝土造,0851127,146.35,0,0,0,無,有,10300000,70379,,0.0,0,陽台外推;夾層;,RPXOMLKKLHGGFCB57DA,109.84,8.5,0.0,有,
西屯區,房地(土地+建物)+車位,中清路二段1250巷61~90號,20.01,都市：其他:第二種住宅區,,,1100204,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),集合住宅、機械室,鋼筋混凝土造,0971225,118.03999999999999,3,2,1,有,有,9100000,77093,坡道機械,14.95,0,陽台外推;其他增建;,RPQQMLKKLHGGFCB07DA,47.05,20.95,0.0,有,
南屯區,房地(土地+建物)+車位,黎明東街421~450號,19.89,都市：其他:第二種住宅區,,,1100124,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840525,126.16999999999999,3,2,2,有,有,8750000,69351,坡道機械,0.0,0,陽台外推;,RPRQMLKKLHGGFCB17DA,76.0,10.41,0.0,有,
西屯區,房地(土地+建物),福聯街15巷1~30號,3.84,都市：其他:第一之一種住宅區,,,1100226,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830908,21.7,1,0,1,有,有,1050000,48387,,0.0,0,,RPPNMLLKLHGGFCB76DA,12.58,1.44,0.0,有,
西屯區,房地(土地+建物),廣福路163巷91~120號,73.18,都市：其他:農業區,,,1100217,土地2建物1車位0,全,四層,透天厝,住宅、停車空間、儲藏室,鋼筋混凝土造,0980227,185.83,4,2,3,有,無,14800000,79643,,0.0,0,陽台外推;其他增建;,RPWPMLKKLHGGFCB57DA,156.41,29.42,0.0,無,
西屯區,房地(土地+建物)+車位,國安一路121~150號,7.11,都市：其他:第六種住宅區,,,1100222,土地1建物1車位1,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,84.67,2,2,1,有,有,7350000,86808,坡道機械,13.89,0,陽台外推;,RPROMLLKLHGGFCB07DA,43.28,5.49,0.0,有,
后里區,土地,月眉段1~30地號,2797.78,,特定農業區,農牧用地,1100222,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6070000,2170,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPPOMLPJLHGGFDB27DA,0.0,0.0,0.0,無,
豐原區,房地(土地+建物),社皮路31~60號,145.46,都市：其他:住宅區,,,1091201,土地1建物1車位0,全,四層,透天厝,店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,1071030,297.3,9,2,6,有,無,26060000,87656,,0.0,0,,RPQOMLSJLHGGFDB67DA,286.22,11.08,0.0,無,
豐原區,房地(土地+建物),永康路213巷55弄1~30號,76.8,都市：其他:第二種住宅區,,,1100202,土地4建物1車位0,全,五層,透天厝,停車空間、樓梯間、住宅,鋼筋混凝土造,1090623,216.58,5,2,4,有,無,16200000,74799,,0.0,0,,RPTNMLKKLHGGFDB17DA,195.81,20.77,0.0,無,
豐原區,土地,豐原段31~60地號,31.75,都市：其他:第二種商業區,,,1100305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3621350,114058,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;未登記建物;,RPRNMLLKLHGGFDB07DA,0.0,0.0,0.0,無,
豐原區,房地(土地+建物),南陽路綠山巷162弄1~30號,81.95,都市：其他:第一種住宅區,,,1100223,土地1建物1車位0,全,四層,透天厝,停車空間、住宅,鋼筋混凝土造,1090224,166.47,3,3,3,有,無,14000000,84099,,0.0,0,陽台外推;,RPSNMLLKLHGGFDB17DA,151.03,15.44,0.0,無,
外埔區,房地(土地+建物),外埔路515巷1~30號,93.19,,特定農業區,甲種建築用地,1100125,土地1建物1車位0,全,四層,透天厝,門廊、住宅,鋼筋混凝土造,1040409,206.21,4,2,3,有,無,9180000,44518,,0.0,0,其他增建;含租約;,RPPNMLMKLHGGFEB07DA,194.79,0.0,11.42,無,
外埔區,土地,二崁段541~570地號,2064.67,,特定農業區,農牧用地,1091224,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15800000,7653,,0.0,0,,RPSNMLKKLHGGFEB17DA,0.0,0.0,0.0,無,
石岡區,房地(土地+建物),大智街1~30號,60.26,都市：其他:住宅區,,,1091228,土地1建物1車位0,全,四層,透天厝,人行道‧店舖‧住房,ＲＣ造,0751117,147.06,4,3,3,有,無,6550000,44540,,0.0,0,頂樓加蓋;其他增建;,RPQNMLKKLHGGFGB17DA,147.06,0.0,0.0,無,
新社區,土地,新農段181~210地號,213.85,都市：其他:住宅區,,,1100217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,28057,,0.0,0,奶奶與孫子間的移轉為了辦自用住宅稅率用,RPTNMLKKLHGGFGB47DA,0.0,0.0,0.0,無,
新社區,土地,三友部段541~570地號,1005.0,,山坡地保育區,農牧用地,1100224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,299,,0.0,0,,RPUNMLKKLHGGFGB57DA,0.0,0.0,0.0,無,
潭子區,土地,嘉豐段661~690地號,455.13,都市：其他:農業區,,,1091216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,19775,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPXNMLRJJHGGFHB38DA,0.0,0.0,0.0,無,
潭子區,房地(土地+建物),福潭路262巷1~30號,29.23,都市：其他:住宅區,,,1100121,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800829,146.89,4,2,2,有,有,7000000,47655,,0.0,0,,RPROMLQLJHGGFHB97DA,93.81,8.49,0.0,有,
大雅區,房地(土地+建物),大林路195巷1~30號,60.15,,特定農業區,甲種建築用地,1100126,土地3建物1車位0,全,四層,透天厝,住宅、外廊、梯間,ＲＣ鋼筋混凝土造,0991117,159.0,4,2,3,有,無,8200000,51572,,0.0,0,頂樓加蓋;其他增建;,RPTNMLRKKHGGFHB18DA,151.01,7.99,0.0,無,
大雅區,房地(土地+建物)+車位,中清路三段997巷1~30號,12.5,都市：其他:住宅區,,,1100121,土地2建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830812,127.53999999999999,3,2,2,有,有,7000000,54885,坡道平面,0.0,0,,RPTNMLTKKHGGFHB38DA,83.36,9.46,0.0,有,0101
潭子區,房地(土地+建物),大德北路31~60號,25.65,都市：其他:住宅區,,,1100208,土地3建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800621,120.64999999999999,3,2,2,有,有,4830000,40033,,0.0,0,,RPUNMLTJLHGGFHB48DA,110.67,3.68,0.0,有,
大雅區,房地(土地+建物),昌平路四段56巷1~30號,298.74,都市：其他:住宅區,,,1091228,土地10建物1車位0,全,二層,透天厝,住家用,加強磚造,0741024,139.88,4,3,3,有,無,8000000,57192,,0.0,0,,RPTOMLKKLHGGFHB67DA,133.88,6.0,0.0,無,
潭子區,土地,安和段481~510地號,172.67,都市：其他:乙種工業區,,,1100219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5565154,32230,,0.0,0,國有地承購,RPWNMLLKLHGGFHB97DA,0.0,0.0,0.0,無,
大里區,房地(土地+建物),永隆九街57巷1~30號,66.75,都市：其他:商業區,,,1100126,土地1建物1車位0,全,五層,透天厝,停車空間．門廊．住宅,鋼筋混凝土造,0910802,214.24,4,3,3,有,有,17170000,80144,,0.0,0,陽台外推;其他增建;,RPURNLPJKHGGFIB58DA,199.91,14.33,0.0,無,
大里區,房地(土地+建物)+車位,草湖路131巷9弄1~30號,17.05,都市：其他:住宅區,,,1100130,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0830313,131.22,3,2,2,有,有,5900000,44963,坡道平面,0.0,0,,RPVNMLSJKHGGFIB48DA,84.48,8.25,0.0,有,0102
烏日區,土地,溪南東段571~600地號,2613.0,,特定農業區,農牧用地,1091227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,53749000,20570,,0.0,0,農作物;,RPVPMLOKJHGGFIB28DA,0.0,0.0,0.0,無,
烏日區,土地,溪南東段571~600地號,2612.0,,特定農業區,農牧用地,1091227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,53728000,20570,,0.0,0,農作物;,RPWPMLOKJHGGFIB38DA,0.0,0.0,0.0,無,
大里區,房地(土地+建物),中興路二段祥興二巷28弄1~30號,76.07,非都市： ; 非都市編定：,,,1071125,土地2建物1車位0,全,四層,透天厝,停車空間、住宅,鋼筋混凝土造,1091030,150.93,3,2,2,有,無,10650000,70563,,0.0,0,,RPTNMLMJLHGGFIB77DA,140.14,10.79,0.0,無,
大里區,房地(土地+建物)+車位,環中東路六段241~270號,23.8,都市：其他:住宅區,,,1100128,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090713,151.4,3,2,2,有,有,9200000,60766,坡道平面,28.39,0,,RPUNMLMJLHGGFIB87DA,72.61,9.98,0.0,有,0103
烏日區,房地(土地+建物),三榮路一段331~360號,189.96,,,,1091228,土地2建物1車位0,全,四層,透天厝,店舖、住宅、停車空間、樓梯間、昇降設備,鋼筋混凝土造,1080530,341.27,4,2,4,有,有,30680000,89899,,0.0,0,,RPRNMLOLKHGGFIB87DA,321.02,20.25,0.0,有,
大里區,房地(土地+建物)+車位,樹王路241~270號,18.75,,鄉村區,乙種建築用地,1100125,土地2建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1070214,104.94999999999999,1,1,1,有,有,6700000,63840,坡道平面,36.48,0,,RPPNMLMLKHGGFIB47DA,42.71,2.94,0.0,有,0104
